BranchCode,YearOpened,MonthOpened,QuaterOpened,LocationCluster,StoreType,edcType,StoreProvince
82,2011,9,Q3,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
83,2011,10,Q4,Downtown,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
84,2011,10,Q4,Downtown,CJSUPERMARKET,Welfare,Samut Sakhon
85,2011,10,Q4,Oasis,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
86,2011,11,Q4,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
87,2011,11,Q4,Downtown,CJSUPERMARKET,Welfare,Ratchaburi
88,2011,11,Q4,Oasis,CJSUPERMARKET,Welfare,Chumphon
89,2011,12,Q4,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
91,2011,12,Q4,Downtown,CJSUPERMARKET,Welfare,Ratchaburi
92,2011,12,Q4,Oasis,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
93,2012,1,Q1,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
94,2012,1,Q1,CityEdge,CJSUPERMARKET,Welfare,Nakhon Pathom
95,2012,1,Q1,Downtown,CJSUPERMARKET,Welfare,Phetchaburi
96,2012,1,Q1,Oasis,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
97,2012,2,Q1,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
98,2012,2,Q1,Oasis,CJSUPERMARKET,Welfare,Phetchaburi
99,2012,2,Q1,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
100,2012,3,Q1,Downtown,CJSUPERMARKET,Welfare,Phetchaburi
101,2012,3,Q1,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
102,2012,3,Q1,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
103,2012,3,Q1,Downtown,CJSUPERMARKET,Welfare,Samut Songkhram
104,2012,4,Q2,Oasis,CJSUPERMARKET,Welfare,Phetchaburi
105,2012,4,Q2,CityEdge,CJSUPERMARKET,Welfare,Nakhon Pathom
106,2012,5,Q2,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
107,2012,5,Q2,Oasis,CJSUPERMARKET,Welfare,Samut Sakhon
108,2012,5,Q2,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
109,2012,6,Q2,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
110,2012,6,Q2,CityEdge,CJSUPERMARKET,Welfare,Nakhon Pathom
111,2012,6,Q2,Downtown,CJSUPERMARKET,Welfare,Rayong
112,2012,7,Q3,Downtown,CJSUPERMARKET,Welfare,Phetchaburi
113,2012,7,Q3,CityEdge,CJSUPERMARKET,Welfare,Kanchanaburi
114,2012,7,Q3,Downtown,CJSUPERMARKET,Welfare,Phetchaburi
115,2012,8,Q3,Downtown,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
116,2012,8,Q3,Oasis,CJSUPERMARKET,Welfare,Nakhon Pathom
117,2012,8,Q3,Downtown,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
119,2012,9,Q3,Downtown,CJSUPERMARKET,Welfare,Ratchaburi
120,2012,9,Q3,Downtown,CJSUPERMARKET,Welfare,Kanchanaburi
121,2012,9,Q3,CityEdge,CJSUPERMARKET,Welfare,Nakhon Pathom
122,2012,10,Q4,Downtown,CJSUPERMARKET,Welfare,Samut Songkhram
123,2012,10,Q4,NearFactory,CJSUPERMARKET,Welfare,Nakhon Pathom
124,2012,10,Q4,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
125,2012,10,Q4,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
126,2012,11,Q4,Downtown,CJSUPERMARKET,Welfare,Samut Songkhram
127,2012,11,Q4,Oasis,CJSUPERMARKET,Welfare,Nakhon Pathom
128,2012,11,Q4,NearFactory,CJSUPERMARKET,Welfare,Ratchaburi
130,2012,11,Q4,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
129,2012,12,Q4,Downtown,CJSUPERMARKET,Welfare,Ratchaburi
131,2012,12,Q4,Downtown,CJSUPERMARKET,Welfare,Ratchaburi
132,2012,12,Q4,Downtown,CJSUPERMARKET,Welfare,Nakhon Pathom
133,2012,12,Q4,Downtown,CJSUPERMARKET,Welfare,Phetchaburi
134,2012,12,Q4,Oasis,CJSUPERMARKET,Welfare,Phetchaburi
136,2013,1,Q1,Downtown,CJSUPERMARKET,Welfare,Kanchanaburi
137,2013,2,Q1,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
138,2013,2,Q1,Downtown,CJSUPERMARKET,Welfare,Nakhon Pathom
139,2013,3,Q1,Suburb,CJSUPERMARKET,Welfare,Samut Sakhon
140,2013,3,Q1,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
141,2013,3,Q1,Oasis,CJSUPERMARKET,Welfare,Phetchaburi
142,2013,3,Q1,Oasis,CJSUPERMARKET,Welfare,Nakhon Pathom
143,2013,3,Q1,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
144,2013,4,Q2,Suburb,CJSUPERMARKET,Welfare,Samut Sakhon
145,2013,4,Q2,Downtown,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
146,2013,4,Q2,Downtown,CJSUPERMARKET,Welfare,Kanchanaburi
148,2013,4,Q2,CityEdge,CJSUPERMARKET,Welfare,Suphan Buri
