ProvinceEN,ZipCode,latitude,longitude
Chon Buri,20120,13.151,100.809
Chon Buri,20130,13.27966667,100.9383333
Chon Buri,20140,13.46710526,101.2007368
Chon Buri,20150,12.936,100.9209
Chon Buri,20160,13.47027273,101.089
Chon Buri,20170,13.3274,101.1206
Chon Buri,20180,12.62128571,100.9044762
Chon Buri,20190,13.1396,101.3802
Chon Buri,20220,13.23933333,101.2
Chon Buri,20230,13.0625,101.0495
Chon Buri,20240,13.396,101.3545
Chon Buri,20250,12.76,100.8973333
Chon Buri,20270,13.27416667,101.462
Chumphon,86000,10.50354545,99.19009091
Chumphon,86100,10.39433333,99.096
Chumphon,86110,9.936,99.06745455
Chumphon,86120,10.41672222,99.32661111
Chumphon,86130,10.24140909,99.14413636
Chumphon,86140,10.74955556,99.14911111
Chumphon,86150,10.00933333,99.16033333
Chumphon,86160,10.71325,99.31925
Chumphon,86170,9.75575,99.0295
Chumphon,86180,9.84,98.823
Chumphon,86190,10.52733333,98.99933333
Chumphon,86210,10.8538,99.4685
Chumphon,86220,10.12038462,99.14484615
Chumphon,86230,10.608,99.25
Kalasin,46000,16.50277273,103.5856364
Kalasin,46110,16.5225,104.0499167
Kalasin,46120,16.4312,103.3676667
Kalasin,46130,16.28184615,103.5519231
Kalasin,46140,16.71757143,103.5618571
Kalasin,46150,16.754125,103.74875
Kalasin,46160,16.72245455,104.0590909
Kalasin,46170,16.61222222,103.2417778
Kalasin,46180,16.8944,103.6095
Kalasin,46190,16.86666667,103.2453333
Kalasin,46210,16.27933333,103.7193333
Kalasin,46220,16.72888889,103.3268889
Kalasin,46230,16.5784,103.7958
Kalasin,46240,16.6605,103.90675
Kamphaeng Phet,62000,16.46917647,99.47223529
Kamphaeng Phet,62110,16.7041,99.5807
Kamphaeng Phet,62120,16.19038462,99.62892308
Kamphaeng Phet,62130,16.093,99.8485
Kamphaeng Phet,62140,16.01671429,99.66442857
Kamphaeng Phet,62150,16.44428571,99.85614286
Kamphaeng Phet,62160,16.329,99.5905
Kamphaeng Phet,62170,16.59614286,99.86157143
Kamphaeng Phet,62180,16.2415,99.2505
Kamphaeng Phet,62190,16.311,99.892
